item,itemLabel,startDate,endDate,psid
Q25450147,Abdul Rahman Al Banyan,2014-05-14,2018-02-26,Q25450147-61efd88e-4f0c-1d00-376f-48ef6d57d36a
Q3362792,Saleh Al-Muhaya,1996-09-26,2011-05-20,Q3362792-d2b7314e-4b5d-8252-31d0-26dd20353556
Q56250519,Fayyadh Al Ruwaili,2018-02-26,,Q56250519-f2d9b63c-4d3a-8035-7c58-fc7ca57b2984
Q57540711,Mohsen al-Husayn,1944,1949,Q57540711-0382b39e-4216-51d9-cc72-8a446e68ac28
Q84957031,Ibrahim al-Tassan,1959-10-17,1963-05-11,Q84957031-e1233759-43da-7f2f-da77-4fb08f137a0a
Q86638223,Mohammed al-Hamad,1980-01-01,1996-09-26,Q86638223-f0d61593-441b-20ed-2b84-af41038ba828
Q86666747,Abdullah al-Issa,1957,1959,Q86666747-78ae9770-4b46-9bc6-a38b-20bee16aec99
Q93766497,Uthman al-Humayd,1975-10-20,1980-01-01,Q93766497-04af9efa-4fd2-f9fb-477a-ec3b9e838682
Q94471326,Abdullah al-Mutlaq,1963,1971,Q94471326-11ba368c-404e-5fd6-08dd-cdbf30ac5ba5
Q96756295,Hamad Shammemry,1971,1975,Q96756295-077c4636-4b9f-0a0c-e4b5-75d04952f114
Q97202732,Hussein al-Qabil,2011-05-20,2014-05-14,Q97202732-fa427af8-4f9e-e3e3-1ae9-997bb6ba22e4
