@@,item,itemlabel,startdate,enddate
+++,Q2067470,Ali Naimi,1995-08-02,2016-05-07
->,Q6399442,Khalid A. Al-Falih,2019-08->2016-05-07,2019-09-08
->,Q4665821,Abdulaziz bin Salman->Abdulaziz bin Salman Al Saud,2019-09-08,
