position,title
Q850168,King
Q12251224,Crown Prince
Q1153839,Prime Minister
Q101555745,Minister of Civil Service
Q25556795,Minister of Defence
Q79588209,Minister of Education
Q60197575,Minister of Finance
Q22689140,Minister of Foreign Affairs
Q105911981,Minister of Hajj and Umrah
Q98934272,Minister of Health
Q105912086,Minister of Housing
Q59507344,Minister of Labor and Social Development
Q104127725,Minister of Media
Q56660969,Minister of National Guard
Q105644424,Minister of Petroleum and Mineral Resources
Q106807170,Minister of Trade and Investment
Q60149886,Minister of Transport
Q105045827,Minister of State
Q25462113,Chairman of the General Staff
Q100588974,President of the Supreme Court
