position,title
Q56660333,Commander-in-chief
Q25450145,General Staff Presidency
Q65080842,Commander of Royal Air Forces
Q73864327,Commander of the Joint Forces
Q57321077,President of General Intelligence
Q98857514,Governor of 'Asir Region
Q98787645,Governor of Al-Qassim Region
Q98787861,Governor of Eastern Province
Q99767397,Governor of Ha'il Region
Q65054269,Governor of Makkah Region
Q98785930,Governor of Medina Region
Q57334761,Governor of Riyadh Region
Q88976778,Governor of Unayzah
Q101083762,ambassador to Afghanistan
Q102190656,ambassador to Algeria
Q101240876,ambassador to Andorra
Q100751065,ambassador to Argentina
Q100451364,ambassador to Australia
Q101000261,ambassador to Austria
Q101413575,ambassador to Azerbaijan
Q101247633,ambassador to Bahrain
Q104074919,ambassador to Bangladesh
Q101064560,ambassador to Belgium
Q101083889,ambassador to Bulgaria
Q107477849,ambassador to Chad
Q102392891,ambassador to Chile
Q107477805,ambassador to Cuba
Q101241090,ambassador to the Czech Republic
Q101210050,ambassador to Denmark
Q107477851,ambassador to the Dominican Republic
Q101472168,ambassador to Egypt
Q101064548,ambassador to the European Union
Q101413586,ambassador to Fiji
Q101210080,ambassador to France
Q107841242,ambassador to Gabon
Q101413584,ambassador to Georgia
Q101106534,ambassador to Germany
Q101445444,ambassador to Ghana
Q100710516,ambassador to Greece
Q109563669,ambassador to Guinea
Q100750879,ambassador to Indonesia
Q101445565,ambassador to Iran
Q101242213,ambassador to Japan
Q101086172,ambassador to Jordan
Q104127082,ambassador to Kuwait
Q102397880,ambassador to Lebanon
Q102245396,ambassador to Liechtenstein
Q101064522,ambassador to Luxembourg
Q104075605,ambassador to Malaysia
Q100999522,ambassador to Mauritania
Q101411063,ambassador to Morocco
Q104075380,ambassador to Nepal
Q104074404,ambassador to Nigeria
Q100749887,ambassador to Norway
Q107689481,ambassador to Oman
Q101452678,ambassador to Pakistan
Q101107244,ambassador to the ambassador to the People's Republic of China
Q101664837,ambassador to Portugal
Q107380340,ambassador to Qatar
Q101126859,ambassador to Ireland
Q102398680,ambassador to the Russian Federation
Q102169402,ambassador to Senegal
Q101000727,ambassador to Slovakia
Q101000883,ambassador to Slovenia
Q101413587,ambassador to the Solomon Islands
Q101452493,ambassador to Somalia
Q101663763,ambassador to South Korea
Q101209255,ambassador to Spain
Q100999460,ambassador to Sudan
Q101664248,ambassador to Sweden
Q101451059,ambassador to Switzerland
Q102394606,ambassador to Syria
Q101410807,ambassador to Tunisia
Q101445570,ambassador to Turkey
Q102311321,ambassador to Turkmenistan
Q101410947,ambassador to the United Arab Emirates
Q91937772,ambassador to the United Kingdom
Q45037601,ambassador to the United States of America
Q101210031,ambassador to Venezuela
Q101536469,ambassador to Yemen
Q108133900,ambassador to the United Nations
