item,itemLabel,startDate,endDate,sourceDate,psid
Q12223509,Abdullah bin Saleh bin Obaid,2005,2009,,Q12223509-EA3D1378-B94A-400D-B6C3-538A46D0BB43
Q5431087,Faisal bin Abdullah bin Mohammed Al Saud,2009,2013,,Q5431087-98BE22AB-E4E6-405E-9774-C391AA4E7E01
Q371263,Khalid bin Faisal Al Saud,2013,2015,,Q371263-E5969A5F-394C-460F-AF06-727E87715F3F
Q44738547,Ahmed bin Mohammad Al Issa,2015,2018,2022-06-17,Q44738547-0E7F2D30-DEDE-42B6-8C3D-9FB563DB51CC
Q60565438,Hamad bin Mohammed Al Al-Sheikh,2018,,,Q60565438-38CB9BAE-0111-4EFC-8480-C2DF6A91290A
