item,itemLabel,startDate,endDate,psid
Q151509,Ibn Saud,1932-09-22,1953-11-09,Q151509-29791C4A-079A-490A-A62C-07F1A0352F96
Q183187,Fahd bin Abdulaziz Al Saud,1982-06-13,2005-08-01,Q183187-A2F8F357-D0F0-4BE7-96DB-C39A15511DE9
Q208301,Khalid of Saudi Arabia,1975-03-25,1982-06-13,Q208301-82C1C89F-BC62-42BB-8A33-D35FC980AE37
Q217167,King Faisal bin Abdulaziz Al Saud,1964-11-02,1975-03-25,Q217167-B50B8CA1-DBFF-4D42-8AF1-CA51480F9138
Q244206,Saud of Saudi Arabia,1953-11-09,1964-11-02,Q244206-8866C4F1-D705-4FCE-9BEC-54069B2F22C2
Q367825,Salman of Saudi Arabia,2015-01-23,,Q367825-F55335EC-F7F3-4F34-A3B6-5B60C9E2D27E
Q57298,Abdullah of Saudi Arabia,2005-08-01,2015-01-23,Q57298-611AA7BB-52C6-48D8-97A7-35CFD76B7C2A
