item,itemLabel,position,positionLabel,start,psid
Q108904593,Fahad bin Abdurrahman Al-Jalajel,Q98934272,Minister of Health,2021-10-15,Q108904593-3db4504d-4903-d339-6ce6-55b08e407297
Q12238118,Majed Bin Abdullah Al Qasabi,Q104127725,Minister of Media,2020-02-25,Q12238118-7c6ce38b-4374-3134-b3f4-f3f1743d7d22
Q22934750,Walid bin Mohammed Al Samani,Q110983007,Minister of Justice,2015-01-01,Q22934750-D55D4B0E-E03D-402D-9B0C-E5F09C8859D7
Q28715686,Mohammed Al-Jadaan,Q60197575,Minister of Finance,2016-11-01,Q28715686-F75E4D61-9DAD-4722-96D3-6F4DD01C5722
Q367825,Salman of Saudi Arabia,Q1153839,Prime Minister of Saudi Arabia,2015-01-23,Q367825-F55335EC-F7F3-4F34-A3B6-5B60C9E2D27E
Q4665821,Abdulaziz bin Salman,Q110983168,Minister of Energy,2019-09-08,Q4665821-6ba4f968-4533-1385-9593-b7032a9e9fff
Q4665824,Abdulaziz bin Turki Al Saud,Q112917804,Minister of Sports,2020-02-25,Q4665824-8C147101-0103-4CDF-A713-E60607E990F0
Q60195440,Abdullah bin Bandar bin Abdulaziz Al Saud,Q56660969,Minister of National Guard,2018-12-27,Q60195440-7AA1AEAF-C1DB-4C04-AC52-34477D8EC0B4
Q60565438,Hamad bin Mohammed Al Al-Sheikh,Q79588209,Minister of Education,2018-01-01,Q60565438-38CB9BAE-0111-4EFC-8480-C2DF6A91290A
Q6399442,Khalid A. Al-Falih,Q112917802,Minister of Investment,2020-02-25,Q6399442-C2BA8BCE-2F93-466E-9C44-F9E54CC22AC8
Q6892571,Mohammad bin Salman,Q25556795,Minister of Defence,2015-01-23,Q6892571-f099175d-44ab-c114-676e-989df024d4fb
Q72099398,Faisal bin Farhan Al Saud,Q22689140,Saudi Foreign Minister,2019-10-23,Q72099398-edaebcbe-42e9-834f-25e2-7b59243dd230
Q7689265,Tawfiq Al Rabiah,Q105911981,Minister of Hajj and Umrah,2021-10-15,Q7689265-03639002-4cbd-dec7-8661-756b5981cd01
