item,itemLabel,startDate,endDate,psid
Q12231217,Fahad bin Saud bin Abdulaziz Al Saud,1957,1960,Q12231217-086C1DE8-9D4D-4A9B-9624-7E508A1D4042
Q12240141,Muhammed bin Saud Al Saud,1960,1963-10-22,Q12240141-0F5C48EC-03CE-444D-8BA7-0711EADD3670
Q2602302,Mishaal bin Abdulaziz Al Saud,1951-05-12,1953,Q2602302-62102A15-17B7-4F23-AA69-9ABF2415F0E8
Q315587,Sultan bin Abdulaziz,1962-10-21,2011-10-22,Q315587-0cc0b606-48eb-66c2-273f-bd047826224e
Q367825,Salman of Saudi Arabia,2011-10-22,2015-01-23,Q367825-2c20cc32-46ef-f757-0bbd-951bb77043eb
Q6751859,Mansour bin Abdulaziz Al Saud,1943-11-10,1951-05-01,Q6751859-14761f3a-4e33-268a-fba8-89e3e301b7e8
Q6892571,Mohammad bin Salman,2015-01-23,,Q6892571-f099175d-44ab-c114-676e-989df024d4fb
