item,itemLabel,startDate,endDate
Q12223501,Abdullah bin Suleiman Al Hamdan,1932-08-14,1954-04-14
Q6893365,Mohammed Suroor Sabban,1954-04-14,1958-02-22
,Abdullah bin Abdul Rahman Adwan,1958-02-22,1958-07-28
Q217167,Faisal bin Abdulaziz Al Saud,1958-07-28,1960-08-30
Q712690,Talal bin Abdulaziz Al Saud,1960-08-30,1961-09-11
Q12240141,Muhammed bin Saud Al Saud,1961-09-11,1961-09-15
Q6982977,Nawwaf bin Abdulaziz Al Saud,1961-09-15,1962-03-16
Q98767348,Musaid bin Abdul Rahman Al Saud,1962-03-16,1975-10-14
Q12240214,Mohammed bin Ali Aba Al Khail,1975-10-14,1995-08-03
,Suleiman bin Abdelaziz Al Sulaim,1995-08-03,1995-10-10
,Abdulaziz Abdullah Al Khuwaiter,1995-10-10,1996-01-30
Q16135350,Ibrahim Abdulaziz Al Assaf,1996-01-30,2016-11-01
Q28715686,Mohammed Al Jadaan,2016-11-01,
