item,itemLabel,startDate,endDate,psid
Q12222960,Abdulaziz ِAl Khwaiter,1995-10-09,1996-01-29,Q12222960-13a42f03-4295-7d1e-6ca5-16705af7b818
Q12223501,Abdullan Sulaiman Alhamdan,1932,1954,Q12223501-5c7b8528-40bf-1e8a-d1b8-aea09e6907d2
Q12240141,Muhammed bin Saud Al Saud,1961-09-11,1961-09-15,Q12240141-DF29F2A8-CB13-42C4-A646-87CF3A47A6A2
Q12240214,Mohammed bin Ali Aba Al Khail,1975-10-14,1995-08-03,Q12240214-8304C65D-A5A3-4E04-A1F8-6A82BE9166A1
Q16135350,Ibrahim Abdulaziz Al-Assaf,1996-01-30,2016-11-01,Q16135350-44C53180-0F7F-44B6-9EF5-93247C0EC795
Q217167,King Faisal bin Abdulaziz Al Saud,1958-07-28,1960-08-30,Q217167-7D0CFA3F-734D-4ACE-B14F-BC5B8F3ED3B8
Q28715686,Mohammed Al-Jadaan,2016-11-01,,Q28715686-F75E4D61-9DAD-4722-96D3-6F4DD01C5722
Q6893365,Mohammed Suroor Sabban,1954,1958,Q6893365-1ad80d36-43c0-3b8f-0282-65d634232718
Q6982977,Nawwaf bin Abdulaziz Al Saud,1961-09-15,1962-03-16,Q6982977-83E09B8E-92B3-4D49-A4D6-49DB78C1A331
Q712690,Talal bin Abdulaziz Al Saud,1960,1962,Q712690-5469ebe2-4dc9-071c-435b-c4611471224b
Q98767348,Musaid bin Abdul Rahman,1962-03-16,1975-10-14,Q98767348-1C202198-8806-4877-827F-0005C1C42A79
