item,itemLabel,startDate,endDate,psid
Q16135350,Ibrahim Abdulaziz Al-Assaf,2018-12-27,2019-10-23,Q16135350-931D12DF-8119-43C5-A1CC-A455F619B0B7
Q217167,"King Faisal bin Abdulaziz Al Saud, King of the Kingdom of Saudi Arabia",1962-03-16,1975-03-25,Q217167-4BDFC28B-4E03-4D2F-9EF8-64EEF67E9343
Q217167,"King Faisal bin Abdulaziz Al Saud, King of the Kingdom of Saudi Arabia",1930-12-19,1960-12-22,Q217167-7F03D1D2-BDF9-4417-8863-8BE0973D76FA
Q29578692,Ibrahim bin Abdullah Al Suwaiyel,1960-12-22,1962-03-16,Q29578692-8E21F90D-077E-4C96-ACD2-5E38443781AC
Q58156,Saud bin Faisal bin Abdulaziz Al Saud,1975-10-13,2015-04-29,Q58156-AFBDAE5F-5C0A-4CEF-A4AA-64F93176E01D
Q623802,Adel al-Jubeir,2015-04-29,2018-12-27,Q623802-1CA755CF-E14F-4B0A-9120-0DE1CE850736
Q72099398,Faisal bin Farhan Al Saud,2019-10-23,,Q72099398-edaebcbe-42e9-834f-25e2-7b59243dd230
